brackets,title
"(Oxford: The Clarendon Press, 1g61)",Must We Mean What We Say?
"(See Chappell, op. cit., p. 45.)",Must We Mean What We Say?
"(Another expansion may be: ""He wouldn't say that unless he was using X to mean Y."" But here again, it is the semantics and pragmatics of Y which are relevant to understanding what is said, and the formula presupposes that we already understand Y.)",Must We Mean What We Say?
(This is part of what you say when you say that you are talking about the logic oGBP ordinary language.),Must We Mean What We Say?
"(Should we add: or when all of the implications of what is asserted can be made explicit in a certain way, e.g., by the methods of formal logic? It may be along such lines that utterances in logical form come to seem the ideal of understandable utterances, that here you can communicate only what you say, or else more than you say without endangering understanding. But we might think of formal logic not as the guarantor of understanding but as a substitute for it. Cf. W. V. 0. Quine, ""Mr. Strawson on Logical Theory,"" Mind, Vol. LXII (o955), 444f. Then we can express this ""law of communication"" this way: What needs understanding can be misunderstood.)",Must We Mean What We Say?
"(London: Macmillan 8c Co., Ltd., 1956)",Must We Mean What We Say?
"(A normal action is neither voluntary nor involuntary, neither careful nor careless, neither expected nor unexpected, neither right nor wrong. . . .)",Must We Mean What We Say?
(Some expressions in each of these books tell us what we must do; others that we may. I will suggest later a reason for this shift.),Must We Mean What We Say?
"(As, in what has become a less forgivable tendency, we take naming as the fundamental source of meaning.)",Must We Mean What We Say?
(One might say we have all the elements of an answer.),Must We Mean What We Say?
"(Oxford: Basil Blackwell Be Mott, Ltd., 1955)",Must We Mean What We Say?
"(For ""The x is F"" read ""The action is voluntary (or pious),"" or ""The statement is vague (or false),"" or ""The question is misleading."")",Must We Mean What We Say?
(Such philosophy has been able to take the death of God in its stride.),Must We Mean What We Say?
"(This categorial formulation does not tell us how to determine what was done; neither does Kant's categorical formulation, although, by speaking of ""the"" maxim of an action, it pretends to, or anyway makes it seem less problematical than it is.)",Must We Mean What We Say?
(What I do as a rule you may have to be made or directed to do.),Must We Mean What We Say?
"(Having an understanding of a game is not knowing the rules; you might find a book called Principles of Economics or Psychology, but none called Rules of Economics, etc.)",Must We Mean What We Say?
"(New York: Grosset lc Dunlap, Inc., 1950)",Must We Mean What We Say?
"(This is partly why ""You ought to keep promises"" is so queer. It suggests that we not only always want badly to get out of fulfilling promises, but that we always have some good (anyway, prima facie) reason for not keeping them (perhaps our own severe discomfort) and that therefore we are acting well when we do fulfill. But we aren't, normally; neither well nor ill.)",Must We Mean What We Say?
(Cf. n. 25.),Must We Mean What We Say?
"(Compare ""Open, Sesame!"" with ""You must open, Sesame."")",Must We Mean What We Say?
"(It is sometimes to emphasize that your remarks about ""use"" are not remarks about such states that you want to say you are talking about the logic of ordinary language.)",Must We Mean What We Say?
(How could I be led into a paradox if I could mean what I wished by my words? Because I must be consistent? But how could I be inconsistent if words would mean what I wanted them to mean?),Must We Mean What We Say?
(What makes a statement or a question profound is not its placing but its timing.),Must We Mean What We Say?
"(See ""A Plea for Excuses,"" p. 1!1!1.)",Must We Mean What We Say?
"(It is unfortunate that artificial language has come to seem a general alternative to naturallanguage;88 it would, I suggest, be better thought of as one of its capacities.)",Must We Mean What We Say?
"(There would, for example, be different ways, and purposes, for lying; a different social structure; different ways of attending to what is said; different weight put on our words; and so forth.)",Must We Mean What We Say?
(How does the child recognize acceptance? Has he learned what that is?),Must We Mean What We Say?
"(""Deciding to use a certain rule"" correctly describes a logician's decision to use, say, Universal Generalization, which involves certain liabilities but ones he considers outweighed by other advantages.)",Must We Mean What We Say?
"(Adding ""because there are no rules for its employment"" adds nothing.)",Must We Mean What We Say?
"(Oxford: Basil Blackwell: Mott, Ltd., 1955)",Must We Mean What We Say?
(Wittgenstein's originality does not come from his having said that philosophy's problems concern something we all already know.),Must We Mean What We Say?
"(That was agonizingly acknowledged, as is familiar to us, by Hume, who wanted, but confessed failure in trying to find, an explanation of it. When he left his study he forgot, as he knew and hoped he would, the skeptical conclusions of his reflections. But what kind of ""belieP' is it whose convincingness fades as soon as we are not explicitly attending to the considerations which led us to it?)",Must We Mean What We Say?
"(For the crystalline purity of logic was, of course, not a result of investigation: it was a requirement.)",Must We Mean What We Say?
"(Those questions can, of course, be asked; and their answers will indeed require ordinary empirical methods for collecting sociological data.)",Must We Mean What We Say?
"(""The results of philosophy are the uncovering of one or another piece of plain nonsense and of bumps that the understanding has got by running its head up against the limits of language"" (?ug).)",Must We Mean What We Say?
"(This is worth comparing with the question: About what can I speak for others on the basis of what I decide to do? When you vote, you speak for yourself; when you are voted in, you speak for others.)",Must We Mean What We Say?
(And not because of not knowing what they are saying to themselves.),Must We Mean What We Say?
(Does it commit a well-known fallacy? Is it a case of hasty generalization? Empirical falsehood? Unverifiable?),Must We Mean What We Say?
(The voice of emptation and the voice of correctness are the antagonist in Wittgenstein's dialogues.),Must We Mean What We Say?
"(Are we asked to believe that ""if a lion could talk we could not understand him""? (II, p. 223))",Must We Mean What We Say?
"(One shade of color approximates to another shade, it does not approximate, nor does it fail to approximate, to the object of which it is the color. An arrow pointing approximately north is exactly pointing somewhere. One paraphrase may be approximately the same, have approximately the same meaning, as another paraphrase.)",Must We Mean What We Say?
"(The addition adds nothing: Where else is it imagined, in that context, that meanings are bound, or found?)",Must We Mean What We Say?
"(And if that is true, it is tautologous.)",Must We Mean What We Say?
"(This is a response to the well-marked characteristic of ""psychic tension"" set up in metaphors. The mark is used by Empson; I do not know the patent.)",Must We Mean What We Say?
"(Romeo just may be young enough, or crazed or heretic enough, to have meant his words literally.)",Must We Mean What We Say?
(Being silent for that purpose might be a good example of the fallacy of imitative form. But that would depend on the context.),Must We Mean What We Say?
"(The little I will say could be paralleled, I think, in discussing the nature of the painting or sculpture called abstract or non-objective.)",Must We Mean What We Say?
(Of course there will be the usual consequences of mimicry and pretension.),Must We Mean What We Say?
"(""The world of the happy man is a different one from that of the unhappy man"" (Tractatw; 6.43).)",Must We Mean What We Say?
"(Are we, then, just willful or stupid in going on making them?)",Must We Mean What We Say?
[someone],Must We Mean What We Say?
(Here I must appeal to the experience of anyone who has been engaged in such encounters.),Must We Mean What We Say?
"(I do think that is the entire content of ""psychology"" in such objections. Such a person knows what he means by logic: how to do it, how to recognize it when he sees it done, what he can expect from it, etc. But who knows any of this about the ""psychology"" in question?)",Must We Mean What We Say?
"(A critic like Ruskin can be a bit eager in seizing this direction, but it is a measure of his honesty, and his devotion to art, never to shrink from it; as it is part of the permanence of his writing to exemplify that moral passion which is a natural extension of the critical task.)",Must We Mean What We Say?
"(Cf.lnvestigations, ?217.)",Must We Mean What We Say?
"[Added 1g68. A paper by Professor Richard Henson ('What We Say,"" American Philosophical Quarterly, Vol. ofNo. 1, January 1g65. pp. 51-62) includes specific rejoinders to a number of the points raised by Fodor and Katz.]",Must We Mean What We Say?
"(But even the bare title is suggestive: it suggests that the clarity Austin seeks in philosophy is to be achieved through mapping the fields of consciousness lit by the occasions of a word, not through analyzing or replacing a given word by others. In this sense, philosophy like his is not ""analytical."")",Must We Mean What We Say?
(I shot your donkey.),Must We Mean What We Say?
(Your donkey was mistaken for mine.),Must We Mean What We Say?
(The donkeys look alike.),Must We Mean What We Say?
"(By walking closer and making sure, which a responsible man. might or might not have been expected to do.)",Must We Mean What We Say?
"(Kierkegaard and Nietzsche, with terrible consciousness, condemned both themselves and the age for their necessities; and both maintained, at great cost, the doubt that their poses were really necessary-which is what it must feel like to know your pose.)",Must We Mean What We Say?
(His feeling is common enough; why such psychological or sociological analyses appear to their performers-and to some of their audience-as reductive in this way is itself a promising subject of psychological and sociological investigation.),Must We Mean What We Say?
"(Contrariwise, the success of socialism is not to be measured by its providing artists with perspective, but by its providing conditions under which artists are free to find their own, without punishing eccentricity or isolation, and in which the members of his community are each in a position to expose themselves to those discoveries, or not to.)",Must We Mean What We Say?
"(His problem, as with any child, is to find out where it came from.)",Must We Mean What We Say?
"(I do not say ""realistic,"" for that might describe Ibsen, or Hollywoodese, and in any case, as it is likely to be heard, would not emphasize the fact that art had gone into it.)",Must We Mean What We Say?
"(Clov, at one point, asks Hamm: ""Don't we laugh?"", not because he feels like it, but out of curiosity. In her longest speech (p. 19), Nell says: ""Nothing is funnier than unhappiness . . . It's like the funny story we have heard too often, we still find it funny, but we don't laugh any more."")",Must We Mean What We Say?
"(For example, in their new transcription, the statements which mean ""Daddy makes money"" and ""Mommy makes bread"" and ""Mommy makes friends"" and ""Daddy makes jokes"" will no longer look alike; interpretation will no longer be required; thought will be as reliable as calculation, and agreement will be as surely achieved.)",Must We Mean What We Say?
(Pause.),Must We Mean What We Say?
(Pause. Coldly.),Must We Mean What We Say?
(Pause. Louder.),Must We Mean What We Say?
(Possibly in the way the Sermon on the Mount is preposterous.),Must We Mean What We Say?
"(One of Hamm's lines is: ""It appears the case is o.. was not so ... so unusual"" (p. 44); he is pretty clearly thinking of himself. He is homme. And ""Ha-am"" in Hebrew means ""the people."" Probably that is an accident, but I wouldn't put anything past the attentive friend and disciple of James Joyce. 4)",Must We Mean What We Say?
"(Though of course that kind of living and dying, the kind that depends on literal food, may make no difference.)",Must We Mean What We Say?
(' o oo but the Son of man hath not where to lay his head.'),Must We Mean What We Say?
"(One mad philosophical question has long been, Does the mind always think? Even in sleep? It is a frightening thought.)",Must We Mean What We Say?
(A conclusion endemic in philosophical and theological exchange.),Must We Mean What We Say?
"(This effect, if it occurs, would express Hamm and Clov's constant air of strained puzzlement.)",Must We Mean What We Say?
(Pause.),Must We Mean What We Say?
"(I take it that suicide can solve these unhappinesses: in the first case because it serves as punishment, in the second because it serves as sacrifice, in the third because it vengefully turns the tables, turning the abandoner into the abandoned. All convert suffering into action; in all, impotence has become unbearable; in all, the act is toward silence, toward a shelter from a torment of accusation.)",Must We Mean What We Say?
"(Perhaps this means he cannot imagine his life either. In the eighth Duino Elegy: "" .o. so Ieben wir und nehmen immer Abschied."")",Must We Mean What We Say?
"(I can hear the lyrics for the new Liebestod. They begin: ""Extremism in the defense of liberty is no vice. I regret that I have but three billion lives to give for my country."")",Must We Mean What We Say?
"(Kant, I believe, is still thought to have denied this, and thus, I suppose, to have contributed to the moral destruction of Germany. What Kant denies, however, is only that anything other than the content of an act-in particular, its being performed from a particular motive (other than duty itself) or its having certain consequences-can make the act morally right.)",Must We Mean What We Say?
(Another significant property in the shelter is a gaff.),Must We Mean What We Say?
"(Nietzsche said that this was true of himself, and suggested that it was true of all men. It seems true enough of Hamm. We need only add that in this matter men are being faithful to, i.e., imitating, God.)",Must We Mean What We Say?
(As the rainbow is more a threat than a promise.),Must We Mean What We Say?
"(""Kill him, for the love of God."")",Must We Mean What We Say?
"(At some such point another feature of our time is apt to enter the resonance of these lines, another mine of response running under the original meaning of Hamm's name: the new sense of blackness. The demand for the end of the world in which blacks and whites are dependent upon one another for their own view of themselves, for their own sense of worth-this demand is now irreversible. And the reversal of the curses and covenants which have created this world will feel like the loss of the world. Whether it also feels to .a given man like the hope of the world depends upon whether that man relocates his sense of worth inside his single skin. That this preposterously simple demand should be so preposterously complex to fulfill is itself maddening. It is simply crazy that there should ever have come into being a world with such a sin in it, in which a man is set apart because of his color-the superficial fact about a human being. Who could want such a world? For an American, fighting for his love of country, that the last hope of earth should from its beginning have swallowed slavery, is an irony so withering, a justice so intimate in its rebuke of pride, as to measure only with God. The question is whether enough men can afford the knowledge that the way the world is comes down in the end to what each son is doing now, sitting within this ordinary walls, making his everyday demands. And whether enough men can divine the difference, and choose, between wanting this world to stop itself, and wanting all world to end.)",Must We Mean What We Say?
(Pause.),Must We Mean What We Say?
(Pause.),Must We Mean What We Say?
(Pause.),Must We Mean What We Say?
(Pause.),Must We Mean What We Say?
"(His art-ery? That could mean, following Eric Partridge on the origin of the suffix ""-ery"", either the action (cp. ""drudgery""), the condition (cp. ""slavery""), the occupation (cp. ""casuistry""), the place of actions (cp. ""nursery""), the product of the action (cp. ""poetry""), or the collectivity (cp. ""citizenry"") of art. Each of these would fit this character and this play.)",Must We Mean What We Say?
"(""Father, Father"" he says again near the end of this, and the play's, last speech.)",Must We Mean What We Say?
"(People, he might say, have no head for figures.)",Must We Mean What We Say?
"(""Believe,"" said Augustine, ""and you have eaten""; Luther thought he understood what that meant.)",Must We Mean What We Say?
[he hesitates],Must We Mean What We Say?
[Pause],Must We Mean What We Say?
[Pause],Must We Mean What We Say?
[Pause],Must We Mean What We Say?
(An unconnected telephone cannot be left unanswered.),Must We Mean What We Say?
"(The French version notates the ambiguity: ""Pas encore"" is ""Not yet."" But also, I take it, ""Not again."")",Must We Mean What We Say?
"(This is the only use of ""exists"" in the play outside the bastard remark.)",Must We Mean What We Say?
"(To wish that it will rain and that it will not rain is to wish for nothing; the same goes for the wish simultaneously to get out of and to stay in a relationship, or any shelter.)",Must We Mean What We Say?
"(This is Sartre's best subject-purest in Nausea-and if he is relevant anywhere to the play, he is here.)",Must We Mean What We Say?
"(Clov is the eschatologist to the end; Hamm, as usual, is caught in the middle.)",Must We Mean What We Say?
"(Nietzsche gave the answer to suggestions that Hamlet ""cannot make up his mind."" What Hamlet sees is the cost of action, the hardest of all truths, that redemption is impossible, that nothing makes up for anything. ""All is absolute"" says Hamm at the beginning of his play, and Hamlet is the Revenge Play to end revenge, which sees that revenge, getting even, is only the hardest of lies, in denying the hardest truth: we are never even and we are always even; the uniqueness of the human soul, held to be its greatest value, is its greatest curse. We are alone, separate. Who has made up his mind to that?)",Must We Mean What We Say?
"(Not, of course, that every performance must allow the same resolution.)",Must We Mean What We Say?
"(Wittgenstein indicates the level of this problem when he expresses dissatisfaction with the idea that we hear our own words (cf. Investigations, p. 1ggff.). This suggests an exercise for the actor: not merely that he not listen to the words he always knew he would be saying, but that he not anticipate, in forward memory as it were, what he is about to say. Improvisation becomes an effort to regain a lost knack of spontaneity; and improvisation can itself become mechanical.)",Must We Mean What We Say?
(Mutually contradictory statements cannot both be true; but a conviction and an action which counters it can both be present.),Must We Mean What We Say?
"(In this book, Kierkegaard characterizes our age in a few, very specific, and often repeated, ways; his task is to provide correctives specific to them. For example, he finds that we are absent-minded, so his task is to provide presence of mind; he finds us lightminded (lightheaded?), so his task is to inject seriousness and balance; he finds us distrait, so his task is to attract our attention.)",Must We Mean What We Say?
(This is one way of putting the whole effort of the book on Adler.),Must We Mean What We Say?
"(Religiously speaking, such a thing is ""absolutely incredible."")",Must We Mean What We Say?
"(This is the point at which his insistence on God as ""wholly other"" finds its methodological expression.)",Must We Mean What We Say?
"(""The situation is quite otherwise . . .""; ""It is quite another matter with ..."")",Must We Mean What We Say?
"(In these ways, speaking religiously is like telling a dream.)",Must We Mean What We Say?
(It would be a phenomenon like everyone stopping having dreams.),Must We Mean What We Say?
(And not because of not knowing what they are saying to themselves.),Must We Mean What We Say?
"(This emerges in so differently conceived a work as Hume's Dialogues, in its outbreaks of irony.)",Must We Mean What We Say?
"(On the recognition that they mean differently depends salvation, for the Gospel saves not because of what it says but because of who it is who has said it.)",Must We Mean What We Say?
"(Both have been said, as both are said in accounting for the lack of a canon of criticism about the cinema.)",Must We Mean What We Say?
"(This is likely to seem at once unmentionably obvious to composers and unintelligible to spectators, which is itself perhaps a measure of the problems of composition in our time.)",Must We Mean What We Say?
"(That is almost a definition of modernism, not to say its purpose.)",Must We Mean What We Say?
"(That of course may be an issue, and that may be an issue of forgery. Showing fraudulence is more like showing something is imitation-not: an imitation. The emphasis is not on copying a particular object, as in forgery and counterfeit, but on producing the effect of the genuine, or having some of its properties.)",Must We Mean What We Say?
"(The latter is, one should add, not always a matter of noticing fine differences by exercising taste; sometimes it is a matter of admitting the lowest common emotion.)",Must We Mean What We Say?
"(""Seeing the point"" conveys this sense, but in ordinary cases of seeing the point, once it's seen it's known, or understood; about works of art one may wish to say that they require a continuous seeing of the point.)",Must We Mean What We Say?
"(The religious, or mystical, resonance of this phrase, while not deliberate, is welcome. For religious experience is subject to distrust on the same grounds as aesthetic experience is: by those to whom it is foreign, on the ground that its claims must be false; by those to whom it is familiar, on the ground that its quality must be tested.)",Must We Mean What We Say?
"(""Extents and Limits of Serial Techniques,"" Musical Quarterly, XLVI, tg6o, pp. u8-ug.)",Must We Mean What We Say?
"(Cage's theorizing, which I find often quite charming, is exempt from such strictures, because he clearly believes that the work it produces is no more important than the theory is, and that it is not justified by the theory, but, as it were, illustrates the theory. That his work is performed as music-rather than a kind of paratheater or parareligious exerciseis only another sign of the confusions of the age. I do not speak of this music explicitly meant to accompany the dance.)",Must We Mean What We Say?
"(A revolutionary development in science is different: not because the new move can initially be proved to be valid-perhaps it can't, in the way we suppose that happens-but because it is easier, for the professional community, to spot cranks and frauds in science than in art; and because if what the innovator does is valid, then it is eo ipso valid for the rest of the professional community, in their own work, and as it stands, as well.)",Must We Mean What We Say?
"(Bach, we are told, was capable of improvising double fugues on any given subjects.)",Must We Mean What We Say?
"(I do not include all music after Beethoven. Chopin and Liszt clearly seem improvisatory, in the sense intended; so do Brahms Intermezzi, but not Brahms Symphonies; early Stravinsky, perhaps, but not recent Stravinsky.)",Must We Mean What We Say?
"(That is, of course, by now a cliche of popular modernism.)",Must We Mean What We Say?
"(One goes to see Garbo's performance as Camille, but not to see a performance of (the movie) Camille.)",Must We Mean What We Say?
"(The main reason, I think, for my withholding of the concept, is that nothing counts as the goal of a performance.)",Must We Mean What We Say?
(What can't anybody do here?),Must We Mean What We Say?
"(It's just as good, and so much easier to make.)",Must We Mean What We Say?
"(As the faithful auditor of God is perhaps no longer to be expected, and cannot receive sanction, through membership in a congregation.)",Must We Mean What We Say?
"(Where history has cunning, it is sometimes ironic, but sometimes just.)",Must We Mean What We Say?
"(In perhaps the way Hume suggests, in the Introduction to his Dialogues on Natural Religion, that the subject to follow is characterized by alternating obscurity and obviousness.)",Must We Mean What We Say?
"(A Christian might say that in such interests, and choices, the heart is revealed. This is what Tolstoy saw.)",Must We Mean What We Say?
"(And that is perhaps analytic of the notion of ""tradition."")",Must We Mean What We Say?
"(Some will suppose that therefore a three-legged stool is a candidate for sculpture, and exhibit it. Well and good; look one over.)",Must We Mean What We Say?
"(They may be related to music in various ways, e.g., the way a design, say of a room, may be related to some painting.)",Must We Mean What We Say?
"(In itself, this is hardly surprising: particular poetic theories are directly responsive to certain poetic practice.)",Must We Mean What We Say?
"(Perhaps his intention was to demonstrate the completeness of my subservience, obeying pointless requests.)",Must We Mean What We Say?
"(Here, one will have to investigate ordinary cases in which, e.g., dissatisfied with the way you have put something-a phrase, or a vase-you are offered a new alternative and, accepting it, reply: ""Yes, that's right. That's what I meant""-when, by hypothesis, that alternative had not occurred to you.)",Must We Mean What We Say?
"(In the land he has made, the artist is entitled to everything the wants, if it's there.)",Must We Mean What We Say?
"(I do not say that under these conditions the did intend it; knowing is at best necessary, not sufficient for intention. Whether he did intend it depends on what he did, on the work itself.)",Must We Mean What We Say?
"(There are obvious problems here. Can you know how to play the clarinet if you can't play the clarinet? You might know how-without being able to-well enough to teach someone to play. Only you won't, as part of your-teaching, be able yourself to demonstrate the correct way. In certain cases one might wish to say that you couldn't teach someone how, but you could tell him how.)",Must We Mean What We Say?
(Here the problem of oblique contexts is explicitly relevant.),Must We Mean What We Say?
(So may his work. And of course by now the artist has dropped out anyway; it is his work we are interviewing.),Must We Mean What We Say?
"(This is, I take it, what the phrase ""ordinary language"" meant to its Oxford coiners: a view of words free of philosophical preoccupation.)",Must We Mean What We Say?
(For no reason? Or out of perversity? Or guile?),Must We Mean What We Say?
(Because it is obviously not true?),Must We Mean What We Say?
"(Not exactly what he takes them to mean, as though they had for him some special or technical meaning.)",Must We Mean What We Say?
"(If the words meant something other than they seemed to mean, the skeptic would not even seem to conflict with ordinary beliefs when he says, for example, ""I cannot know that another man is in. pain because I cannot have his pain."")",Must We Mean What We Say?
"(This is why the skeptic's knowledge, should we feel its power, is devastating: he is not challenging a particular belief or set of beliefs about, say, other minds; he is challenging the ground of our beliefs altogether, our power to believe at all.)",Must We Mean What We Say?
"(Of course I have not said what ""in the way that is relevant to philosophizing"" means. The point of these remarks is exactly that this requires investigation. The sentences which immediately precede this parenthesis might serve as beginning points in such an investigation.)",Must We Mean What We Say?
"(What makes it the same one is its physical integrity, so to speak.)",Must We Mean What We Say?
"(though it's true we've compared notes and discovered that we suffer the same frightful headache, the one Dr. Ewig describes as part of Ewig's Syndrome)",Must We Mean What We Say?
"(Perhaps these considerations explain why Wittgenstein says merely ""in so far as it makes sense to say my pain is the same as his ...""; he does not say that it always makes sense, nor even that it ever does fully.)",Must We Mean What We Say?
"(His discovery makes our ordinary use of ""the same"" seem a far;on de parler, and makes the ordinary language philosopher's appeal to this use seem willful ignorance or superficiality.)",Must We Mean What We Say?
"(That is the trouble with skepticism; and the skeptic has an explanation of it. For example, he may speak of knowing something which he cannot believe.)",Must We Mean What We Say?
"(If, as I began by arguing, comparing the skeptic's words with their everyday use does not automatically show that he means nothing, but rather shows what he must mean, or does mean, then the question is, (how) can he? It is a question.)",Must We Mean What We Say?
"(If not, so much the worse for his words.)",Must We Mean What We Say?
"(If. not fully, still not fully not.)",Must We Mean What We Say?
(Using language depends on this ability to give application in new contexts.),Must We Mean What We Say?
"(It is not unimaginable that it be a dummy or a doll which has some peculiar causal connection with Second. But that would not be a case of ""feeling bcause another feels it."")",Must We Mean What We Say?
"(This is not a case of ""feeling pain in another's body."")",Must We Mean What We Say?
(His pain won't be relieved unless you attend to First; but he may nevertheless be comforted if you attend to him (Second).),Must We Mean What We Say?
"(This now means something in contrast to Second, none of whose feelings are his.)",Must We Mean What We Say?
(That was true of the case in which I gave myself descriptively the same pain; and perhaps it is true of First's position.),Must We Mean What We Say?
"(Goes beyond not, so to speak, in the order of knowledge, but in its requirement that I do something or reveal something on the basis of that knowledge.)",Must We Mean What We Say?
(which denies the truth of one of the steps),Must We Mean What We Say?
"(It is exactly when my witnessing of the thing, under the best possible conditions, does (seem to) collapse that I know the entire structure of reports about the external world collapses.)",Must We Mean What We Say?
[the idea],Must We Mean What We Say?
"(This is, one assumes, the force of saying ""the difference resides in the language game itself"".)",Must We Mean What We Say?
"(For it isn't as if the words ""enter into the minds of others"" are themselves senseless. It is only a way of taking the words, a ""picture"" of their application, that is being called senseless; and it looks as if the senseless way of taking them is expressed by the analogy of entering a garden. But that is the question: Is that the way they are, or need to be, taken? And isn't there a way of taking ""enter his garden"" which makes it a correct (figurative) description of what I do when I enter his mind?)",Must We Mean What We Say?
"(Reverse Faust, I take the bargain of supernatural ignorance.)",Must We Mean What We Say?
"(And of course ""I know he's in pain"" is very likely to be an expression of exasperation.)",Must We Mean What We Say?
"(""I know what you're going through""; ""I've done all I can""; ""The serum is being flown in by special plane."")",Must We Mean What We Say?
"(This is ""acknowledging it to you."" There is also something to be called ""acknowledging it for you""; for example, I know you want it known, and that you are determined not to make it known, so I tell. Of course I do not acknowledge it the way you do; I do not acknowledge it by expressing pain.)",Must We Mean What We Say?
(It is the sort of concept Heidegger calls an existentiale.),Must We Mean What We Say?
"(A phenomenon such as envy, or the sense of loss, or working on a jigsaw puzzle, or a ringing in the ears, would lack one or another of these features. But it would be hasty to conclude that the skeptic had chosen his example just in order to illustrate his prior conclusions. It may be, rather, that the example is produced by the problem he takes himself to see, forced upon him by intellectual honesty and phenomenological scrupulousness; and then he reads off his conclusions from that necessary example.)",Must We Mean What We Say?
"(He isn't a skeptic, so what else can he be?)",Must We Mean What We Say?
"(This is an inveterate tendency in adolescence, and in other troubles. But it is inherent at any time.)",Must We Mean What We Say?
(Someone would have to have these feelings to know what I feel.),Must We Mean What We Say?
"(Cambridge: Harvard University Press, 1952, Arden Edition)",Must We Mean What We Say?
"(This is no easier than, perhaps no different from, discovering when and how to stop philosophizing. Wittgenstein congratulated himself for having made this possible, saying that in this discovery philosophy is given peace (Investigations, ?133).)",Must We Mean What We Say?
"(Here it is worth investigating the fact that the formula ""He said . . ."" can introduce either indirect discourse or direct quotation. One might feel: Indirect discourse doesn't literally report what someone said, it says what he meant. Then why do we say ""He said ..."" rather than ""He meant ..."", an equally common formula, but used for other purposes? Perhaps the reason is that what is said is normally what is meant, even that what is said is necessarily normally what is meant-if there is to be language. Not more than normally, however, because there are any number of (specific) ways in which and occasions on which one's words do not say what one means. Because the connection between using a word and meaning what it says is not inevitable or automatic, one may wish to call it a matter of convention. But then one must not suppose that it is a convention we would know how to forgo. It is not a matter of convenience or ritual, unless having language is a convenience or unless thinking and speaking are rituals.)",Must We Mean What We Say?
"(An instance cited by Wittgenstein is Luther's remark that ""Faith resides under the left nipple."")",Must We Mean What We Say?
"(III, vii, go-91)",Must We Mean What We Say?
"(III, vii, 64-66)",Must We Mean What We Say?
"(III, vii, Bo-82)",Must We Mean What We Say?
"(It is not merely literary critics who look for meaning in suffering, attempting to rationalize it. Civilizations have always done it, in their myths and laws; men do it in their dreams and fears of vengeance. They learned to do it from Gods.)",Must We Mean What We Say?
"(That shame is the subject of those speeches is emphasized by Coleridge; but he concentrates, appropriately enough, on Edmund's shame.)",Must We Mean What We Say?
"(There are, of course, proper occasions for explanations of that kind; for example, an explanation of why separation is not the same as divorce.)",Must We Mean What We Say?
(Hence the comedian sports disfigurement.),Must We Mean What We Say?
(It is not simply his legal treatment that Edmund is railing against.),Must We Mean What We Say?
